"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 09:28:09.339000+00:00","2019-09-01 09:48:32.635000+00:00","1223","1026","Constitution Street","Next to Burns Statue","55.97544142756835","-3.166806411195239","257","Portobello","Edinburgh Leisure Tumbles Centre","55.957004308392506","-3.1168881187301167"
"2019-09-01 09:29:40.665000+00:00","2019-09-01 09:43:19.752000+00:00","819","256","St Andrews House","beside Jacobs ladder","55.95316433242384","-3.181682340931843","225","Waverley Court","On Waverley Court forecourt","55.95173449698344","-3.1841785354060903"
"2019-09-01 09:29:40.958000+00:00","2019-09-01 09:44:25.313000+00:00","884","256","St Andrews House","beside Jacobs ladder","55.95316433242384","-3.181682340931843","225","Waverley Court","On Waverley Court forecourt","55.95173449698344","-3.1841785354060903"
"2019-09-01 09:32:01.752000+00:00","2019-09-01 09:36:39.945000+00:00","278","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864","258","Stockbridge","Hamilton Place by Dean Bank Lane","55.95856558589723","-3.2080701822277433"
"2019-09-01 09:32:34.183000+00:00","2019-09-01 09:44:58.222000+00:00","744","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","183","Waverley Bridge","near the top of the South ramp","55.95134439884462","-3.1914209989898836"
"2019-09-01 09:32:40.909000+00:00","2019-09-01 09:41:08.758000+00:00","507","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 09:32:53.711000+00:00","2019-09-01 09:48:09.555000+00:00","915","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","1028","The Tron","Next to Tron Kirk Royal Mile","55.95003729291336","-3.1878215188269223"
"2019-09-01 09:33:28.347000+00:00","2019-09-01 09:38:41.561000+00:00","313","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277"
"2019-09-01 09:34:29.772000+00:00","2019-09-01 09:49:55.848000+00:00","926","356","East London Street","Outside St. Mary's Primary School","55.95994339132352","-3.187329201962484","265","Meadows East","Melville Terrace","55.939809466328285","-3.182738850746432"
"2019-09-01 09:34:52.646000+00:00","2019-09-01 09:49:58.217000+00:00","905","356","East London Street","Outside St. Mary's Primary School","55.95994339132352","-3.187329201962484","265","Meadows East","Melville Terrace","55.939809466328285","-3.182738850746432"
"2019-09-01 09:35:56.529000+00:00","2019-09-01 09:47:14.094000+00:00","677","881","Tollcross","Outside Piccolino","55.94428069681837","-3.2029643592377397","183","Waverley Bridge","near the top of the South ramp","55.95134439884462","-3.1914209989898836"
"2019-09-01 09:36:59.600000+00:00","2019-09-01 10:09:55.816000+00:00","1976","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929"
"2019-09-01 09:37:21.557000+00:00","2019-09-01 10:09:46.389000+00:00","1944","1039","Lothian Road","Outside the Usher Hall","55.947409199207115","-3.2057654971365537","285","Ocean Terminal","Debenhams / Puregym entrance","55.981286014792985","-3.176351263805259"
"2019-09-01 09:37:24.247000+00:00","2019-09-01 10:09:53.185000+00:00","1948","1039","Lothian Road","Outside the Usher Hall","55.947409199207115","-3.2057654971365537","285","Ocean Terminal","Debenhams / Puregym entrance","55.981286014792985","-3.176351263805259"
"2019-09-01 09:40:46.983000+00:00","2019-09-01 10:03:38.243000+00:00","1371","347","Simon Square","Corner of Simon Square & Gilmour Street","55.944867799682754","-3.182670511194715","345","Colinton Road","Colinton Road next to Napier University","55.93339776573361","-3.2124286474635255"
"2019-09-01 09:41:54.540000+00:00","2019-09-01 10:03:55.914000+00:00","1321","347","Simon Square","Corner of Simon Square & Gilmour Street","55.944867799682754","-3.182670511194715","345","Colinton Road","Colinton Road next to Napier University","55.93339776573361","-3.2124286474635255"
"2019-09-01 09:42:19.462000+00:00","2019-09-01 09:57:24.635000+00:00","905","290","Bruntsfield links","Corner of Bruntsfield Terrace and Bruntsfield Place","55.93715871276677","-3.206435329645956","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864"
"2019-09-01 09:42:52.213000+00:00","2019-09-01 09:57:33.274000+00:00","881","290","Bruntsfield links","Corner of Bruntsfield Terrace and Bruntsfield Place","55.93715871276677","-3.206435329645956","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864"
"2019-09-01 09:47:03.632000+00:00","2019-09-01 10:10:26.616000+00:00","1402","1038","South Trinity Road","Corner of South Trinity Road and Ferry Road","55.97132539148155","-3.207963567424258","285","Ocean Terminal","Debenhams / Puregym entrance","55.981286014792985","-3.176351263805259"
"2019-09-01 09:48:57.212000+00:00","2019-09-01 10:14:17.499000+00:00","1520","346","Morningside Road","Corner of Morningside Road & Morningside Park by M & S car park","55.92798551356313","-3.209738736635245","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 09:49:04.001000+00:00","2019-09-01 10:03:06.771000+00:00","842","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","248","Bristo Square","Bristo Square, near Potterrow","55.94583371599285","-3.189053072075467"
"2019-09-01 09:49:55.915000+00:00","2019-09-01 10:01:47.356000+00:00","711","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956","189","City Chambers","City Chambers Quadrangle","55.95010933017899","-3.190257770093808"
